day_of_week,period,carpark,hour,red,white
Friday,School,CP3,7,1,11
Friday,School,CP3,8,4,38
Friday,School,CP3,9,5,54
Friday,School,CP3,10,5,59
Friday,School,CP3,11,5,66
Friday,School,CP3,12,6,65
Friday,School,CP3,13,6,69
Friday,School,CP3,14,5,71
Friday,School,CP3,15,5,70
Friday,School,CP3,16,5,65
Friday,School,CP3,17,4,56
Friday,School,CP3,18,2,34
Friday,School,CP3,19,1,20
Friday,School,CP3,20,0,12
Friday,School,CP3,21,0,8
Friday,School,CP3,22,0,6
Friday,School,CP3,23,0,1
Saturday,School,CP3,0,0,1
Saturday,School,CP3,1,0,1
Saturday,School,CP3,6,0,1
Saturday,School,CP3,7,0,1
Saturday,School,CP3,8,1,2
Saturday,School,CP3,9,3,4
Saturday,School,CP3,10,3,11
Saturday,School,CP3,11,2,11
Saturday,School,CP3,12,2,9
Saturday,School,CP3,13,1,11
Saturday,School,CP3,14,1,12
Saturday,School,CP3,15,0,11
Saturday,School,CP3,16,1,7
Saturday,School,CP3,17,2,9
Saturday,School,CP3,18,3,42
Saturday,School,CP3,19,4,55
Saturday,School,CP3,20,4,54
Saturday,School,CP3,21,0,36
Saturday,School,CP3,22,0,6
Saturday,School,CP3,23,0,1
Sunday,School,CP3,0,0,1
Sunday,School,CP3,1,0,1
Sunday,School,CP3,2,0,1
Sunday,School,CP3,3,0,1
Sunday,School,CP3,4,0,1
Sunday,School,CP3,5,0,1
Sunday,School,CP3,6,0,1
Sunday,School,CP3,7,0,1
Sunday,School,CP3,8,0,1
Sunday,School,CP3,9,0,2
Sunday,School,CP3,10,0,4
Sunday,School,CP3,11,1,4
Sunday,School,CP3,12,1,6
Sunday,School,CP3,13,1,9
Sunday,School,CP3,14,2,13
Sunday,School,CP3,15,2,17
Sunday,School,CP3,16,2,15
Sunday,School,CP3,17,3,13
Sunday,School,CP3,18,2,44
Sunday,School,CP3,19,4,76
Sunday,School,CP3,20,4,76
Sunday,School,CP3,21,2,52
Sunday,School,CP3,22,1,25
Sunday,School,CP3,23,1,1
Monday,School,CP3,0,1,1
Monday,School,CP3,1,1,0
Monday,School,CP3,2,1,0
Monday,School,CP3,3,1,0
