type,carpark,period,day_of_week,Means,Covariances,Weights
red,CP3,Exam,Friday,"[12.999999999999972, 10.999999999999988, 15.999999999999964, 9.999999999999979]","[1e-06, 1e-06, 1e-06, 1e-06]","[0.2000000000000001, 0.39999999999999974, 0.2000000000000001, 0.2000000000000001]"
red,CP3,Exam,Monday,"[16.99999999999996, 11.999999999999973, 5.999999999999987, 13.99999999999997, 12.999999999999972]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
red,CP3,Exam,Saturday,"[8.99999999999999, 5.999999999999987, 1.9999999999999956, 10.999999999999975, 6.999999999999985]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.3333333333333331, 0.16666666666666674, 0.16666666666666674, 0.16666666666666674, 0.16666666666666674]"
red,CP3,Exam,Sunday,"[1.9999999999999956, 0.9999999999999992, 2.999999999999997]","[1e-06, 1e-06, 1e-06]","[0.16666666666666685, 0.4999999999999998, 0.3333333333333333]"
red,CP3,Exam,Thursday,"[13.99999999999997, 9.999999999999993, 5.999999999999987]","[1e-06, 1e-06, 1e-06]","[0.20000000000000015, 0.5999999999999996, 0.20000000000000015]"
red,CP3,Exam,Tuesday,"[9.999999999999979, 2.9999999999999933, 16.99999999999996, 6.999999999999985, 10.999999999999975]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
red,CP3,Exam,Wednesday,"[10.999999999999988, 5.999999999999987, 11.999999999999988]","[1e-06, 1e-06, 1e-06]","[0.39999999999999986, 0.20000000000000015, 0.39999999999999986]"
red,CP3,Holiday,Friday,[10.499999999999998],[19.833334333333333],[1.0]
red,CP3,Holiday,Monday,"[2.0000000565850287, 9.999999999999995, 20.999999999999954, 14.485460837177165, 8.630776655313166, 11.83990001104406]","[0.6666679420491167, 1e-06, 1e-06, 0.2785466542639297, 0.4967568111052809, 0.48912136605844864]","[0.1250000014146155, 0.16658425200270532, 0.04166666666666674, 0.08335068520399737, 0.3341289268140741, 0.249269467897941]"
red,CP3,Holiday,Saturday,"[14.999999999999966, 5.898195104382927, 36.999999999999915, 2.2854122243468953, 18.999999999999957, 10.251569104224261]","[1e-06, 0.7097361030602933, 1e-06, 0.4930638953427785, 1e-06, 0.6889537068352249]","[0.04166666665093149, 0.41748541542648293, 0.041666666666666734, 0.2911465986586588, 0.041666666666666734, 0.16636798593059332]"
