Car Park Name,Latitude,Longitude,Total Occupancy,Red Lots,White Lots,Description
Carpark 1,1.2980613042745082,103.77015028651117,85,45,40,School of Design & Environment
Carpark 2,1.2998540120519195,103.77263522833107,100,60,40,Faculty of Engineering
Carpark 2A,1.300775781299382,103.77169732323746,120,70,50,In front of Block E3A
Carpark 2B,1.3003324614789338,103.7703358690085,100,60,40,Beside Block EA (NUS Staff Season Parking Car Park)
Carpark 3,1.3022542197560005, 103.77308094961545,243,31,212,UCC/YST Conservatory of Music
Carpark 3A,1.3018423348087362,103.77373379064693,67,14,53,LKCNHM
Carpark 4/4A,1.3002623708277286,103.77394175815428,116,21,95,Raffles Hall/CFA
Carpark 5,1.3005900975762807,103.77499614209331,70,17,53,University Sports Centre
Carpark 5B,1.2989296273197881,103.77533442131828,32,32,0,NUS Staff Club (Club Members)
Carpark 6,1.2967438565091745,103.77905155305972,100,60,40,Between Block S7 & S13 (NUS Staff Season Parking Car Park)
Carpark 6A,1.2963627111277665,103.77833189042663,100,60,40,Block S1A (NUS Staff Season Parking Car Park)
Carpark 6B,1.2973361597794588,103.77790822331364,173,130,43,University Hall (NUS Staff & Authorized Guests)
Carpark 7,1.2965698656271634,103.77970050198427,100,60,40,Between Block S10 & S14 (NUS Staff Season Parking Car Park)
Carpark 8,1.2973393714236228,103.7808799968831,100,60,40,Block S16 (NUS Staff Season Parking Car Park)
Carpark 9A,1.2959731665071088,103.78195989712785,100,60,40,Clinical Research Centre (MD11) (Authorized Staff)
Carpark 10(Season),1.2981055128184855,103.78088110219524,100,100,0,Block S17 (NUS Season Parking Car Park)
Carpark 10(Visitors),1.2974158275547063,103.78186012770612,150,0,150,Block S17
Carpark 10A,1.2923837321062701,103.78206013690964,100,60,40,CRISPS
Carpark 10B,1.2908754348390001,103.78138879126888,100,60,40,PGP Residences
Carpark 10C,1.29435206736996,103.7751269172166,100,60,40,Centre for Life Science (Authorized Staff)
Carpark 11,1.29435206736996,103.7751269172166,50,20,30,In front of IMRE and SSLS
Carpark 11A,1.2935840258819777,103.77540279120616,100,60,40,BIZ 2 (NUS Staff Season Parking Car Park)
Carpark 12,1.2925824326485704,103.77462556506961,100,60,40,Hon Sui Sen Memorial Library
Carpark 12A,1.2921937612917007,103.77660029363793,100,60,40,Institute of Systems Science
Carpark 12B,1.2929000234776078,103.77631630147033,100,60,40,I3
Carpark 13,1.294731354614049,103.77335497080877,100,60,40,COM1 (NUS Staff Season Parking Car Park)
Carpark 14,1.2949922002279188,103.77069733749619,100,60,40,Shaw Foundation Building (AS7) (NUS Staff Season Parking Car Park)
Carpark 15,1.2933479857523598,103.77221874794749,100,60,40,In front of Temasek & Eusoff Halls
Carpark 16,1.295550539793822,103.77078776322769,100,60,40,Lecture Theatre 11
Carpark 17,1.297072969251281,103.77242106767663,100,60,40,Computer Centre (NUS Staff Season Parking Car Park)
Stephen Riady Centre,1.3045818936001805,103.77206053154936,100,60,40,UTown
